source;target
0;1
0;2
0;3
0;5
0;6
0;3593
0;12
0;1549
0;17
0;20
0;532
0;1558
0;23
0;24
0;25
0;3096
0;3606
0;3609
0;4633
0;543
0;36
0;3623
0;42
0;3627
0;1582
0;49
0;562
0;564
0;2612
0;2105
0;59
0;574
0;4161
0;67
0;2627
0;69
0;4163
0;4675
0;1099
0;1611
0;2638
0;2130
0;3154
0;4179
0;87
0;3166
0;95
0;3167
0;610
0;2660
0;630
0;119
0;632
0;4728
0;3707
0;124
0;2685
0;127
0;1664
0;129
0;131
0;2180
0;646
0;1670
0;3720
0;137
0;654
0;2705
0;150
0;1174
0;1175
0;1686
0;666
0;155
0;158
0;161
0;673
0;163
0;164
0;1700
0;166
0;3235
0;1705
0;1709
0;174
0;3247
0;689
0;180
0;1724
0;1728
0;4800
0;196
0;198
0;4296
0;1231
0;720
0;1743
0;3791
0;213
0;727
0;222
0;2782
0;224
0;4830
0;2274
0;2786
0;228
0;229
0;4322
0;3815
0;746
0;2796
0;4336
0;1778
0;2295
0;260
0;1285
0;2820
0;1287
0;2311
0;3845
0;780
0;4883
0;4372
0;4884
0;4377
0;282
0;289
0;802
0;4389
0;4904
0;1836
0;304
0;305
0;2865
0;821
0;1845
0;824
0;825
0;828
0;3394
0;2884
0;838
0;327
0;1866
0;4938
0;4428
0;850
0;1875
0;2386
0;4437
0;2903
0;859
0;1884
0;1891
0;4963
0;2926
0;369
0;2417
0;3444
0;2933
0;2424
0;377
0;378
0;2940
0;1405
0;901
0;1418
0;3978
0;2956
0;399
0;400
0;913
0;2451
0;406
0;1431
0;3479
0;3993
0;2974
0;1441
0;3489
0;419
0;1443
0;1959
0;4018
0;4019
0;437
0;2997
0;1982
0;4545
0;4034
0;4546
0;1991
0;463
0;4560
0;2514
0;3538
0;468
0;981
0;985
0;484
0;1510
0;4070
0;1004
0;1005
0;4589
0;2032
0;3060
0;3061
0;2038
0;4090
0;509
0;2558
1;0
1;2
1;2563
1;4
1;5
1;7
1;8
1;519
1;10
1;16
1;17
1;2578
1;33
1;37
1;2085
1;43
1;44
1;555
1;1581
1;3135
1;65
1;68
1;2629
1;70
1;1098
1;75
1;3659
1;82
1;84
1;596
1;86
1;1623
1;4695
1;4703
1;96
1;3681
1;100
1;612
1;3173
1;615
1;1132
1;3186
1;116
1;4219
1;639
1;3712
1;4735
1;3204
1;147
1;662
1;151
1;152
1;2204
1;2722
1;1701
1;170
1;1195
1;3251
1;1208
1;189
1;195
1;1731
1;2248
1;3794
1;217
1;732
1;221
1;226
1;743
1;2279
1;234
1;746
1;3310
1;241
1;242
1;243
1;3826
1;247
1;2807
1;777
1;779
1;2322
1;278
1;4378
1;1821
1;2341
1;814
1;3886
1;4399
1;307
1;819
1;3893
1;314
1;316
1;2880
1;2372
1;3909
1;2375
1;4424
1;849
1;4435
1;3416
1;862
1;863
1;865
1;1382
1;875
1;4974
1;367
1;883
1;3960
1;889
1;892
1;2428
1;4476
1;3967
1;2434
1;1923
1;4995
1;1932
1;3980
1;4499
1;1947
1;2976
1;2981
1;425
1;1452
1;2991
1;1973
1;440
1;1977
1;447
1;2495
1;4543
1;962
1;3529
1;1485
1;465
1;3537
1;4573
1;483
1;3561
1;2028
1;1517
1;2547
1;3066
1;2043
1;510
2;0
2;1
2;1540
2;2564
2;9
2;2059
2;3601
2;18
2;535
2;27
2;542
2;31
2;41
2;3626
2;4137
2;46
2;64
2;1088
2;578
2;71
2;72
2;79
2;596
2;1108
2;3158
2;1627
2;94
2;98
2;4708
2;613
2;114
2;644
2;135
2;1159
2;3207
2;2699
2;1171
2;660
2;669
2;2721
2;3239
2;1197
2;692
2;189
2;1214
2;3785
2;2762
2;715
2;4299
2;1741
2;2766
2;1242
2;2284
2;238
2;1776
2;4850
2;2296
2;259
2;262
2;1287
2;776
2;1304
2;1311
2;1327
2;321
2;330
2;334
2;1360
2;2387
2;4948
2;1374
2;1377
2;1894
2;4975
2;374
2;386
2;903
2;1415
2;4999
2;907
2;920
2;1948
2;3997
2;1456
2;974
2;1486
2;979
2;984
2;1008
2;3572
3;0
3;2048
3;6
3;398
3;4113
3;18
3;280
3;25
3;2328
3;1023
3;28
3;1564
3;30
3;2204
3;32
3;2589
3;930
3;4772
3;2857
3;4267
3;942
3;47
3;305
3;1842
3;3889
3;3508
3;53
3;2613
3;2999
3;696
3;1209
3;4278
3;2235
3;3003
3;1088
3;453
3;581
3;455
3;1222
3;2117
3;1101
3;595
3;4819
3;1880
3;89
3;2393
3;1499
3;2527
3;3297
3;3937
3;1251
3;1252
3;1639
3;3559
3;617
3;2025
3;2665
3;237
3;1006
3;1390
3;498
3;1779
3;628
3;117
3;245
3;373
3;1013
3;4340
3;2170
3;383
4;1
4;3494
4;4359
4;2409
4;2842
4;14
4;591
4;982
4;1367
4;1274
4;731
4;61
5;0
5;1
5;512
5;513
5;1025
5;517
5;8
5;10
5;11
5;1548
5;3084
5;16
5;1043
5;1046
5;4120
5;1561
5;26
5;3098
5;4121
5;29
5;3614
5;32
5;33
5;34
5;3616
5;1572
5;40
5;1580
5;1069
5;51
5;55
5;56
5;2616
5;4151
5;59
5;60
5;575
5;1613
5;78
5;83
5;84
5;1107
5;4693
5;4694
5;2648
5;90
5;91
5;99
5;4709
5;4711
5;4204
5;635
5;124
5;126
5;128
5;642
5;133
5;4233
5;138
5;1164
5;1169
5;659
5;3219
5;149
5;1688
5;1183
5;3234
5;164
5;4775
5;3242
5;178
5;2233
5;2245
5;3781
5;711
5;206
5;208
5;722
5;1749
5;1754
5;731
5;2781
5;1246
5;3809
5;3811
5;3814
5;1767
5;2282
5;1771
5;3306
5;2290
5;1274
5;252
5;1788
5;1278
5;255
5;4874
5;283
5;285
5;3359
5;3362
5;3370
5;2859
5;300
5;4909
5;2351
5;820
5;824
5;828
5;318
5;2878
5;1348
5;329
5;3915
5;1356
5;2389
5;1366
5;3418
5;2398
5;869
5;364
5;4972
5;1905
5;3961
5;383
5;4481
5;4483
5;901
5;1414
5;392
5;397
5;4493
5;1938
5;1944
5;2459
5;3998
5;1952
5;2473
5;4032
5;2497
5;454
5;456
5;3018
5;467
5;4056
5;476
5;2012
5;478
5;1504
5;2026
5;1521
5;1010
5;504
5;2557
6;0
6;4352
6;3
6;1283
6;7
6;4488
6;1033
6;3212
6;3086
6;3729
6;21
6;149
6;1814
6;1815
6;2837
6;3221
6;413
6;2334
6;288
6;1825
6;3364
6;2089
6;1578
6;173
6;4142
6;3503
6;1714
6;2098
6;52
6;436
6;1844
6;55
6;4790
6;1594
6;2236
6;319
6;194
6;1476
6;325
6;709
6;1604
6;4165
6;4297
6;586
6;205
6;3661
6;3151
6;1488
6;212
6;4564
6;217
6;102
6;1382
6;1511
6;3817
6;490
6;112
6;882
6;1012
6;2805
6;888
7;1
7;129
7;1410
7;1795
7;6
7;9
7;1034
7;3081
7;1164
7;141
7;269
7;655
7;4362
7;4877
7;1427
7;3864
7;1181
7;287
7;672
